id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
304;170967,21145203753;182267,69570278763;200306,17778068437;163207,48550431075;177781,9166859868;198359,78171961496;168020,34897526688;180325,1406164668;200676,8823513412;159248,66212780797;176757,17372933152;194108,62941589943;157088,84082461888;165369,11250983409;183406,66386356056;163540,6356636144;175504,0176086276;192281,10931463484;177094,95420966748;191015,00347019933;207121,3184064039;152422,39142098164;164465,52647199997;182618,09678503824;133252,4851409174;139359,06284770323;151612,98473380067;165096,7036971413;178800,13858408597;198811,72225183863
305;170967,21145203753;182269,21997042056;199844,46363327125;163207,48550431075;177553,63958555475;202108,10717058126;166420,71522773005;180383,70348529628;199162,5844493398;163114,19016076156;176603,065923232;196402,33406537416;157088,84082461888;165062,8103538526;182204,09315470667;163540,6356636144;175546,76583880722;195772,2716303391;177094,95420966748;190437,44301168527;208476,6676247482;152857,4735558152;164540,95722287655;184656,80546207374;133252,4851409174;139324,95456587622;151700,2195470754;165096,7036971413;178584,2252194645;199989,87879279046
306;170967,21145203753;181968,12077484487;198140,00258469474;165338,15274926386;177067,27232062424;197860,7381171286;168910,45460159582;180501,70270615286;201508,24054258864;163406,0798674314;176254,35972187025;197901,56314571694;156312,09055318136;164402,63628432984;180237,4181400895;162726,06845801836;174810,63486722443;192104,94524352078;177135,9444360966;190810,72523750248;209517,54433341493;152857,4735558152;164561,68988004557;180365,1466221434;133088,6810305891;139046,01999070932;151931,5494025225;163271,6961606445;178676,60250997517;200549,96186323639
307;170212,2328533836;182021,03942303944;206838,01383126958;166533,514582988;177597,4382547666;193905,47703495438;168304,9914386944;180001,22096395434;197444,54490799765;162360,8496589901;176623,1405331137;202906,23619376306;156312,09055318136;164945,4005241962;182726,28039896517;162726,06845801836;174471,9750792385;192782,2909186426;177135,9444360966;190748,83227742658;210591,11278138746;151572,89314668486;165535,89525642537;184636,6750256965;132488,1936231402;138520,21962151563;153812,24946834703;165096,7036971413;179314,1530675705;199745,95447605397
308;170212,2328533836;182161,5896289172;199194,4759264232;165829,89128544327;177306,8273644348;198583,76494712706;168910,45460159582;180110,37710873847;197318,51837199536;163859,81269675502;176363,60544363508;195176,54648686966;156312,09055318136;165002,83313865284;184488,7159524398;158853,7788689315;174101,77566657038;193047,56671051966;177065,9917537641;190157,63581374683;207498,13541960187;154517,62889142818;165273,45977438762;183489,5814977862;131127,1029099381;138017,62690550264;148666,3262077768;165060,85387818667;179254,74929888317;199053,58084925739
309;170212,2328533836;182078,81946902367;200129,39329303318;165630,48591457974;176698,35756826054;195373,3831099737;168910,45460159582;180284,0084052018;200924,07401977995;165622,0512702218;176111,85630142232;196565,02017259336;155203,0577982498;164862,6522203903;177567,45161607236;158853,7788689315;173956,67848265718;191099,8439620954;178027,27812431377;190314,21630118322;209254,1479022474;154517,62889142818;165284,4579135169;186437,46282183498;132364,65417437494;137740,81289414281;151861,074868323;165060,85387818667;179565,34611230626;206775,7676908938
310;170575,34803460832;181280,44363866432;200750,82054327318;166502,99332589054;176207,8625939595;191474,14177333724;167295,28987852085;180632,05259353257;196330,4524749819;165622,0512702218;175982,73484288127;197669,92473127917;155203,0577982498;165285,7294536753;184415,3272620164;158372,9394790641;173066,91182435543;193665,59656663478;178027,27812431377;189924,76474137997;206095,73823679605;153894,8297177142;165325,04638403453;185279,36599128033;132364,65417437494;137838,0878316666;151678,83663114498;165060,85387818667;178967,42735092842;199820,2321867065
311;170081,93130327118;181824,49350561172;202874,59715225056;163819,46044960545;175799,50101986053;194002,40781339133;167295,28987852085;180537,25378174646;202942,99881707897;164595,82366540682;175754,27367981596;197289,46833323955;155203,0577982498;165323,47414601903;190190,99732277455;158372,9394790641;172714,84912762177;194051,3049327832;173919,6645214355;190103,52847883248;213378,07015867258;153332,84315154442;165604,23223694318;182503,16393406747;132136,5467264862;137020,34498642365;152300,8905801308;164638,6770276542;178993,25826682936;200722,89503951618
312;168925,58896454348;181377,6925697263;206229,95995611793;165544,6175728861;175710,8389914306;195587,20873894714;167295,28987852085;180451,39444917112;208744,04520817776;162371,239154737;174954,4196301467;190975,0327304125;155194,02257139288;165034,5066304269;185053,48877938822;158372,9394790641;172229,76942638156;191744,28296782958;179099,9558591145;190387,91719602293;213063,9410445391;153332,84315154442;166642,4825360737;194239,86698150306;132364,65417437494;136705,01555785383;148097,44133440783;164015,5836065328;177845,0480553031;203602,14407725402
313;168925,58896454348;180833,26857081533;207195,4211304947;165544,6175728861;174785,66745660146;191672,55707023665;167295,28987852085;180922,72046835063;203779,20147492326;162371,239154737;174550,5478511415;194920,7197134288;154577,01691888456;165266,4943375022;178914,9715807896;158372,9394790641;171662,1540573698;188387,91919432193;177053,38622672073;190585,25603865072;212422,32087384776;155377,30931738677;166150,36199528066;188798,5158675496;131206,38017592995;136608,12429175645;150440,7083783398;163870,3243434773;177163,2985762183;208850,3987023403
