id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
21;115080,05163648307;125168,14134171026;139222,58735751337;115772,56000399185;127462,377265357;147894,15680235313;116025,06738546216;131448,64224015648;159105,08456952847;113307,46644050139;128092,77087525833;145403,33008950844;119173,5129897513;132060,33744161608;150407,8263797416;110212,4934623993;126306,62532909957;145979,88583560765;120184,9532583792;129845,09609576379;146302,60048773323;118698,76948311488;131755,0589342089;147400,44836098287;117237,40416533571;134153,68575224857;159571,34559940567;121310,25964088902;134362,87463141026;156400,78168518154
22;115080,05163648307;124585,99751304023;137123,64917793026;113724,52115824287;126916,5814238515;141614,88963934683;116025,06738546216;131538,7326868344;154179,88651697646;115856,91840555056;127190,91157943045;150622,5464149552;113231,73413153598;130793,59067022213;150274,56288795924;106087,71269642263;125381,98435083541;143580,21914687398;115780,42902894151;129192,2867010111;147796,12565302209;119223,22539054774;130336,00354056855;144160,4866350391;117922,0048140107;133192,2973556213;157719,60970652933;120116,0268033656;133271,62982641064;153795,78638453194
23;113644,28185404392;123432,48557471625;139864,45544206924;113724,52115824287;126130,87363290698;139812,92624995584;115020,46716095871;130501,43284614595;148169,94570735525;109863,2787261058;126507,26294214353;142654,84031835507;113231,73413153598;129933,03763384323;153557,29592550086;105462,70112222475;123727,12769615714;146136,36316112158;115780,42902894151;128226,34252893348;150109,96507306793;116124,64765646384;129756,98696119596;147880,95630099543;116437,60581593265;131754,41921592032;156149,10835226797;120116,0268033656;132612,57612571766;151350,11828849444
24;113365,3012249373;123541,88148407887;142920,0444715281;113724,52115824287;125199,034712037;140648,94713286142;115020,46716095871;128957,20257508421;146921,39750102375;107905,59029235758;125385,52130717514;145072,26229115558;113231,73413153598;128695,25480057643;147144,82867308505;106386,03455443576;123536,78382547689;142771,5630474892;115920,4023247809;128113,25103167033;147336,7119036055;116124,64765646384;129250,02915212381;147227,4914586395;114201,31186145407;130414,57354614069;155544,68762070732;119978,16304334335;131757,2555831966;156898,47686702543
25;112899,20070789082;123841,15230314177;144845,34102250077;114004,91834518166;123873,23264082648;140499,29742671977;114738,27075426962;128244,78062693603;149457,75536364107;107036,5733622428;123910,09375883557;145072,26229115558;113231,73413153598;127360,81087779268;147187,10558545086;106386,03455443576;122792,50530661995;147654,51968224643;115425,58937148488;127408,05502157226;147598,50486053602;116058,06006874304;128128,24444321734;143647,6242397167;115505,7939391945;128467,14419995894;166390,47612491337;119978,16304334335;131815,23404737285;153391,78106315687
26;112899,20070789082;123482,06185489535;140576,63315984042;113867,22951175307;122994,01194470786;139177,3435417858;114422,1117676081;127378,56072988467;149918,75811738256;107036,5733622428;123406,54672640187;143031,0125366233;112839,86867443591;126580,0682277596;148018,63550683318;102716,50720246266;121009,26307253912;137460,66346251487;112800,50141271683;126887,45010876864;141792,70468468152;116058,06006874304;127113,0277138721;145983,4923556137;114956,83843474348;128314,53546651744;149248,8404448062;118176,2877867672;131101,23292371482;149706,75691359869
27;112899,20070789082;123362,49311450882;137689,4134946841;112522,82883718678;122712,33926356785;138048,10388544318;113354,71233629451;126418,0224493606;146291,7410529219;107036,5733622428;122839,9425756989;147112,9721891719;111724,47051325996;126148,65733795101;146803,87173638464;102716,50720246266;118075,97931214781;139979,37076392295;112800,50141271683;124953,77957341743;142584,59947698368;115600,06192496797;126288,6858904316;144171,27451428297;113067,5649885766;126689,22175980355;149564,11261694806;117014,18748894722;129293,37454632776;155830,88423766624
28;112818,03367075397;122621,39637450782;135769,41904915433;110694,46151735734;121878,88625765448;137032,12276303655;113354,71233629451;125943,17093430842;140993,1355069667;106706,68011620082;122375,22624560878;138795,80442149888;111724,47051325996;125334,9242238687;144590,00554025103;102716,50720246266;117750,6944273563;138857,00973570012;110116,32892722968;124129,65152290248;142451,89511495142;110495,46492003681;125280,9468266998;139751,11655063715;113125,39306648733;125177,1788761499;151342,45520808015;115790,16342903995;128344,05217831231;145769,86169585385
29;111820,11518733522;121094,87956514281;135918,00307991923;110694,46151735734;121257,06518729748;137895,48782000798;112358,80632618374;124361,8063119292;141691,70799053882;106706,68011620082;121109,4141915192;138156,20519172138;112436,99883933616;124407,04309106573;140976,09831895801;102716,50720246266;117506,95119768234;138046,98320079985;110589,2513544829;123450,58227381103;143132,8481896215;109646,5079379255;123480,04599822561;141636,26559767962;113125,39306648733;124516,40899273529;143189,30102947255;115893,75692979623;126830,52772726139;145450,64816977136
30;110200,97596365071;121208,20185059364;137634,202514785;109319,81828771022;121435,16273613101;137531,1426809111;109988,47658622342;123116,96681670102;141173,51470479812;104862,66414497819;119919,54469724359;141021,66483569378;111454,10513536025;124051,61913438218;139592,19357995605;102716,50720246266;116581,09474058695;138467,0750669965;109183,56465360157;122907,48442267971;143756,10040555775;108530,42087581806;122512,7314933917;136821,91822663217;113125,39306648733;123434,10060349457;142422,32811479957;114432,31781641742;125897,028992688;148857,6648654276
31;110262,63356923289;121020,608144744;139662,01817895655;109014,94314117017;120974,29397575962;137531,1426809111;109988,47658622342;122037,84149247242;139912,69673661748;104610,5419603672;119365,68485155511;141163,65239050853;108225,74546125025;123426,6753544232;142038,78049578812;102716,50720246266;116040,21616059149;135851,5789537;109501,58669162227;121635,88159384519;139363,25287361498;106039,81209775545;121580,18311675033;135648,35960321582;110936,82514894305;122433,44050916035;142219,26470410064;108122,1259497806;125715,74867926128;142315,05552948086
32;110827,75385814375;120751,88673134078;139436,46914655255;108061,88554866098;120381,09708366849;140372,23079532807;109988,47658622342;122061,62390853447;140519,8212175927;106618,46779168746;118535,50774168338;134494,68006428983;109247,95648443051;122692,1881438907;149985,08854291766;101811,64662105864;114872,95707996855;141630,2093610569;105791,37066733673;120281,07138261311;146941,2740175324;106039,81209775545;120904,290446808;135288,24420704917;108756,75470266338;121629,91557463272;138633,5075187873;108675,25096955794;124760,45033135185;142569,54115543282
33;105763,82643263749;120903,10555689839;138882,266309376;106145,58745778268;120305,10636035983;140966,0022761286;109988,47658622342;121383,75571403575;140429,53020052947;106618,46779168746;116967,34161844649;132908,01859084392;109247,95648443051;122740,15455095418;138751,14746008103;102206,38316795942;115023,1666131997;135455,36700029366;106960,0269298058;119836,57223621773;141213,9676553425;105862,13518416809;119494,9402405342;135608,25715870404;108547,12747198157;120823,52629077375;140380,16247680548;108675,25096955794;123556,04948755525;142888,51686269484
34;104468,36524700458;120618,36656833366;140805,85642596136;106193,52626288502;119380,58773212806;148831,45105055528;109768,45234160419;120743,30847474585;146593,54739479165;105390,99539801298;116786,63660358677;135654,31532880015;109247,95648443051;121529,9790338366;143559,33711814828;102206,38316795942;113934,03605547492;133999,33736987633;106960,0269298058;119247,44722073567;138401,75111133474;105862,13518416809;117900,85371351826;133422,91676472934;110749,27035465527;121240,53533213737;142688,776538685;108675,25096955794;124209,7878303187;140890,84390839344
35;103275,58492762946;120113,11099115752;138709,47878402515;108258,35083754337;119436,24876875855;138297,42410852364;109768,45234160419;120194,37437220431;143871,09377801497;105390,99539801298;116531,29256471753;128897,80802550587;109247,95648443051;121068,89281887803;138478,91004338828;101887,99507570558;113142,28958231896;136175,2095242817;105817,5591154623;118523,91829415178;138401,75111133474;105325,38779545012;116538,56085379765;138663,44219198136;108941,21271864153;121367,4245457243;136313,84078207237;107847,98568672044;123737,42037583423;142119,44512344306
36;103275,58492762946;119416,31751048329;137205,56935926276;108258,35083754337;118946,04150624857;138754,17765964862;108799,45351294344;119800,37179584471;135725,0686180189;105336,73470723083;115470,02644890653;132359,63803598614;109429,4059112465;120413,43553289947;139900,79633856562;101974,95444838953;112335,04226584427;137147,11989476267;105641,46808220838;118436,75865126637;138558,96390999624;104736,77222970565;116383,58331178494;131508,88051906892;106623,83519556753;119598,87453899799;137016,75483096202;107847,98568672044;122932,17165413682;137823,8186461063
